package	file	line	column	error_code	message
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/auth/encryption.ts	5	3	TS1484	'Decrypt2Func' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/auth/encryption.ts	6	3	TS1484	'DecryptFunc' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/auth/encryption.ts	7	3	TS1484	'Encrypt2Func' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/auth/encryption.ts	8	3	TS1484	'EncryptFunc' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/database/getAPIKey.ts	1	26	TS2307	Cannot find module '@constants' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/database/getAPIKey.ts	2	26	TS2307	Cannot find module '@functions/auth/encryption' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/database/getAPIKey.ts	3	37	TS2307	Cannot find module '@functions/logging' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/database/getAPIKey.ts	8	10	TS1484	'IPBService' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/encryption/constants.ts	1	37	TS2307	Cannot find module '@functions/logging' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/external/ai/index.ts	3	8	TS2307	Cannot find module '@functions/database/getAPIKey' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/external/ai/index.ts	4	37	TS2307	Cannot find module '@functions/logging' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/external/ai/index.ts	9	10	TS1484	'IPBService' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/external/ai/index.ts	12	3	TS1484	'FetchAIFunc' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/external/ai/providers/deepseek.provider.ts	1	37	TS2307	Cannot find module '@functions/logging' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/external/ai/providers/groq.provider.ts	1	37	TS2307	Cannot find module '@functions/logging' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/external/ai/providers/index.ts	1	29	TS2307	Cannot find module '@functions/cache' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/external/ai/providers/ollama.provider.ts	1	37	TS2307	Cannot find module '@functions/logging' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/external/ai/providers/ollama.provider.ts	2	31	TS2307	Cannot find module '@functions/utils/zodResponseFormat' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/external/ai/providers/openai.provider.ts	1	37	TS2307	Cannot find module '@functions/logging' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/external/ai/providers/openai.provider.ts	2	31	TS2307	Cannot find module '@functions/utils/zodResponseFormat' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/external/ocr.ts	3	10	TS1484	'ParseOCRFunc' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/initialization/ensureCredentials.ts	1	26	TS2307	Cannot find module '@constants' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/initialization/ensureCredentials.ts	2	33	TS2307	Cannot find module '@functions/encryption' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/initialization/ensureCredentials.ts	3	28	TS2307	Cannot find module '@functions/logging' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/initialization/localeService.ts	1	26	TS2307	Cannot find module '@constants' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/initialization/localeService.ts	2	37	TS2307	Cannot find module '@functions/logging' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/media/convertPDFToImage.ts	3	10	TS1484	'ConvertPDFToImageFunc' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/media/retrieveMedia.ts	3	10	TS1484	'RetrieveMediaFunc' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/modules/loadAndRegisterModuleRoutes.ts	1	26	TS2307	Cannot find module '@constants' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/modules/moduleLoaderLogger.ts	1	37	TS2307	Cannot find module '@functions/logging' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/routes/functions/controllerLogic.ts	15	33	TS2307	Cannot find module '@functions/encryption' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/routes/functions/controllerLogic.ts	16	28	TS2307	Cannot find module '@functions/logging' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/routes/functions/controllerLogic.ts	20	3	TS1484	'BaseResponse' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/routes/functions/controllerLogic.ts	21	3	TS1484	'ForgeContract' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/routes/functions/controllerLogic.ts	22	3	TS1484	'MediaConfig' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/routes/functions/forgeRouter.ts	4	3	TS1484	'ForgeContract' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/routes/functions/forgeRouter.ts	5	3	TS1484	'ForgeRouter' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/routes/functions/forgeRouter.ts	6	3	TS1484	'RouterInput' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/routes/utils/checkRecordExistence.ts	2	10	TS1484	'Request' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/routes/utils/coreContext.ts	12	8	TS2307	Cannot find module '@functions/auth/encryption' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/routes/utils/coreContext.ts	13	29	TS2307	Cannot find module '@functions/cache' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/routes/utils/coreContext.ts	14	30	TS2307	Cannot find module '@functions/database/getAPIKey' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/routes/utils/coreContext.ts	15	21	TS2307	Cannot find module '@functions/external/ai' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/routes/utils/coreContext.ts	16	29	TS2307	Cannot find module '@functions/external/location' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/routes/utils/coreContext.ts	17	22	TS2307	Cannot find module '@functions/external/ocr' or its corresponding type declarations.
